% of Cr,% of Hf,% of Mo,% of Nb,% of Ta,% of Ti,% of V,% of Zr,% of Ni,% of Al,% of Mn,%Cu,%C,Entropy,Hardness
0.0,0.0,0.0,0.47000000000000003,0.44000000000000006,0.9749103942652331,0.0,0.9923664122137404,0.0,0.1386861313868613,0.0,0.0,0.0,0.6025265294889854,0.42976806350888924
0.0,0.0,0.75,0.2,0.25,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.5897310980555706,0.5394568561256352
0.0,0.0,0.5815,0.0,0.0,0.0,0.4026,0.0,0.39617117117117123,0.0,0.0,0.0,0.0,0.7333801175539001,0.5599658950812874
0.0,0.0,0.5,0.8,0.25,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.5411511257456685,0.3515341452454748
0.0,0.0,0.0,0.46799999999999997,0.33,0.9749103942652331,0.086,1.0,0.0,0.1386861313868613,0.0,0.0,0.0,0.7413078400640327,0.4412899955064466
0.0,0.0,0.5,0.2,0.25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3816400996446039,0.22928644675139132
0.8836477987421384,0.0,0.6675,0.0,0.0,0.0,0.0,0.0,0.13963963963963966,0.2457420924574209,0.0,0.0,0.0,0.542819454514823,0.8503185814197325
0.0,0.0,0.892,0.0,0.0,0.0,0.3248,0.0,0.41193693693693695,0.0,0.0,0.0,0.0,0.641030304659006,0.30648339113502554
0.6289308176100629,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.4504504504504505,0.48661800486618,0.0,0.0,0.0,0.7393457257250657,0.909080434607275
0.0,0.0,0.75,0.4,0.5,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.6645384118903179,0.8613796361373875
0.0,0.0,0.25,0.4,0.5,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.6645384118903179,0.25521079374589534
0.0,0.0,0.75,0.6,0.5,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.5897310980555706,0.758027906119298
0.7861635220125787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5630630630630631,0.0,0.0,0.0,0.0,0.4203236752424293,0.0
0.0,0.0,1.0,0.2,0.25,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.46634381191092067,0.9953797052689795
0.0,0.0,0.5,0.6,0.75,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.5897310980555706,0.28459172033966657
0.0,0.0,0.5,0.8,0.5,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.6721506316433772,0.6323236280259474
0.679245283018868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46171171171171177,0.0,0.0,0.9322033898305084,0.0,0.7333536425315514,0.19587284395847498
0.18238993710691823,0.0,0.505,0.408,0.515,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.9047011082809917,0.6781809173762257
0.0,0.0,0.5,0.0,0.0,0.0,0.4,0.0,0.4504504504504505,0.0,0.0,0.0,0.0,0.7393457257250657,0.5864663386756692
0.0,0.9500000000000001,0.6000000000000001,0.38,0.47500000000000003,0.0,0.0,0.7251908396946565,0.0,0.0,0.0,0.0,0.0,0.7325200877069811,0.3214619027318501
0.0,0.0,0.6150000000000001,0.438,0.0,0.6057347670250897,0.38,0.0,0.0,0.4282238442822384,0.0,0.0,0.0,0.7249152772460763,0.48507333709716444
0.0,0.0,0.5,0.6,0.5,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.6645384118903179,0.37976287863949026
0.0,0.0,0.5,0.4,0.5,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.6645384118903179,0.25279118802640826
0.0,0.0,0.5,0.4,0.75,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.6645384118903179,0.4232005622702815
0.0,0.0,0.2625,0.44799999999999995,0.2525,0.6379928315412188,0.0,0.717557251908397,0.0,0.4963503649635036,0.0,0.0,0.0,0.9389430737353688,0.5472917698839741
0.0,0.0,0.75,0.6,0.25,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.5897310980555706,0.7121706167690198
0.0,0.0,0.6400000000000001,0.48600000000000004,0.0,0.7132616487455198,0.408,0.0,0.0,0.2384428223844282,0.0,0.0,0.0,0.6769363448586827,0.42746367710937777
0.0,0.0,0.5,0.4,0.5,0.7168458781362008,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.7393457257250657,0.3767671763201254
0.0,0.0,0.5,0.4,0.75,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.6645384118903179,0.5536288324826306
0.0,0.0,0.25,0.4,0.75,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.5897310980555706,0.26223917226440535
0.0,0.835,0.4175,0.334,0.4175,0.5949820788530468,0.0,0.633587786259542,0.0,0.0,0.0,0.0,0.0,1.0000000000000002,0.448203154704981
0.0,0.0,0.25,0.2,0.75,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.5897310980555706,0.8319987095436163
0.0,0.0,0.5,0.6,0.25,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.5897310980555706,0.8038851954695765
1.0,0.0,0.44500000000000006,0.0,0.0,0.0,0.0,0.0,0.17567567567567569,0.2092457420924574,0.0,0.0,0.0,0.5090097075132383,0.5830097590764021
0.0,0.0,0.18125000000000002,0.0,0.0,0.0,0.4328,0.0,0.5547297297297298,0.0,0.0,0.0,0.0,0.6467929078543,0.32952725513014025
0.0,0.0,0.5,0.4,1.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.5411511257456685,0.23631482526990127
0.0,1.0,0.0,0.4,0.0,0.7168458781362008,0.4,0.7633587786259542,0.0,0.0,0.0,0.0,0.0,0.7393457257250657,0.3122443571338042
0.0,0.0,0.75,0.2,0.75,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.5897310980555706,0.5699899759191622
0.0,0.91,0.225,0.364,0.455,0.6523297491039427,0.0,0.6946564885496184,0.0,0.0,0.0,0.0,0.0,0.9647884077009474,0.41939832471108757
0.0,0.0,0.25,0.2,1.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.46634381191092067,0.6758189213167263
0.6672955974842767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5594594594594595,0.0,0.0,0.0,0.9600000000000001,0.628232854541676,0.1578504683665357
0.0,0.0,0.0,0.5,0.625,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.4203236752424293,0.2315908331509028
0.5974842767295597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39639639639639646,0.2530413625304136,0.9,0.0,0.0,0.9765967921135863,0.07374036478436705
0.0,0.0,0.5,0.6,0.5,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.6645384118903179,0.5183717205701053
0.0,0.0,0.75,0.4,0.25,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.6645384118903179,0.7087140371697527
0.0,0.0,0.8435000000000001,0.0,0.0,0.0,0.3394,0.0,0.4166666666666667,0.0,0.0,0.0,0.0,0.6626445046508842,0.45396412070375963
0.7861635220125787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5630630630630631,0.0,0.0,0.0,0.0,0.4203236752424293,0.008065352398290149
0.0,0.0,0.5650000000000001,0.0,0.0,0.0,0.44920000000000004,0.0,0.3689189189189189,0.0,0.0,0.0,0.0,0.7294769199858162,0.5645746678803103
0.0,0.0,0.0,0.64,0.225,0.9605734767025091,0.0,0.39312977099236646,0.0,0.5328467153284671,0.0,0.0,0.0,0.5842312951795388,0.33528822112891893
0.0,0.0,0.5,0.8,0.5,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.5411511257456685,0.28528303625952006
0.0,0.0,0.43300000000000005,0.0,0.0,0.0,0.48619999999999997,0.0,0.39391891891891895,0.0,0.0,0.0,0.0,0.7275099945075014,0.5081172010922792
0.0,0.0,0.25,0.4,0.5,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.6645384118903179,0.8238181378253506
0.1289308176100629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.4101807791130417
0.5283018867924528,0.0,0.44000000000000006,0.358,0.4625,0.0,0.228,0.0,0.0,0.0,0.0,0.0,0.0,0.9836684275725551,0.7361362353239391
0.7842767295597485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5502252252252253,0.0,0.0,0.0,0.0,0.41987563402184747,0.019587284395847504
0.0,0.0,0.5,0.2,0.5,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.5411511257456685,0.3045246626954408
0.0,0.0,0.5,0.2,0.5,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.6645384118903179,0.6863614890944914
0.9245283018867924,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.31531531531531537,0.3552311435523114,0.0,0.0,0.0,0.5529050022536215,0.49889965549423326
0.3522012578616352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27252252252252257,0.94647201946472,0.0,0.6610169491525423,0.0,0.27281530866766524,0.07374036478436705
0.0,0.0,0.5,0.4,0.25,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.6645384118903179,0.6898180686937587
0.5345911949685535,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.37162162162162166,0.0,0.8050000000000002,0.0,0.0,0.9995447661432888,0.6152711686695624
0.0,0.6400000000000001,0.0,0.46,0.42000000000000004,0.6774193548387097,0.0,0.7862595419847329,0.0,0.1922141119221411,0.0,0.0,0.0,0.9284258973296231,0.4412899955064466
0.0,0.0,0.8487500000000001,0.0,0.0,0.0,0.354,0.0,0.4193693693693694,0.0,0.0,0.0,0.0,0.6585719818018514,0.465486052701317
0.0,0.0,0.75,0.2,0.5,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.5897310980555706,0.5618094042008965
0.0,0.0,0.75,0.2,0.25,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.5897310980555706,0.465486052701317
0.5157232704402516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34909909909909914,0.5182481751824817,0.795,0.0,0.0,0.9893607121318191,0.06337062598656543
0.0,0.0,0.5,0.2,0.25,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.5411511257456685,0.5077715431323526
0.0,0.0,0.5,0.4,0.25,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.6645384118903179,0.6664285467387172
0.0,0.0,1.0,0.4,0.25,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.5411511257456685,0.526552292288371
0.0,0.0,0.0,0.4,0.5,0.7168458781362008,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.7393457257250657,0.38022375591939256
0.0,0.0,0.0,0.4,0.0,0.7168458781362008,0.0,0.7633587786259542,0.4504504504504505,0.0,0.0,0.0,0.0,0.7393457257250657,0.4735514050996071
0.0,0.0,0.25,0.4,0.75,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.6645384118903179,0.2998006705764423
0.0,0.0,0.41500000000000004,0.332,0.41500000000000004,0.5949820788530468,0.336,0.0,0.0,0.0,0.0,0.0,0.0,0.9999828772960611,0.4472814001451763
0.0,0.0,0.25,0.2,0.25,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.46634381191092067,0.6099710799506861
0.0,0.0,0.5,0.2,0.75,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.5897310980555706,0.7991612033505779
0.6883647798742139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5459459459459459,0.0,0.0,0.0,1.0,0.6343700216142378,0.25233031074650597
0.0,0.0,1.0,0.2,0.5,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.5411511257456685,0.6569805625007201
0.0,0.0,1.0,0.2,0.5,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.5411511257456685,0.5959143229136663
0.19182389937106917,0.0,0.48,0.384,0.48250000000000004,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.925848971654627,0.6446520952633339
0.0,0.0,0.25,0.6,0.5,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.5897310980555706,0.6546761761012088
0.0,0.0,0.5,0.4,0.5,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.7393457257250657,0.5934947171941791
0.6289308176100629,1.0,0.0,0.4,0.0,0.7168458781362008,0.0,0.7633587786259542,0.0,0.0,0.0,0.0,0.0,0.7393457257250657,0.4009517115829983
0.0,0.0,0.5,0.2,0.75,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.6645384118903179,0.5712573884388934
0.0,0.0,0.5,0.2,0.75,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.5897310980555706,0.29634409097717507
0.0,0.0,0.25,0.4,0.75,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.5897310980555706,1.0
0.0,0.0,0.75,0.4,0.5,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.6645384118903179,0.826122524224862
0.0,0.0,0.1295,0.0,0.0,0.0,0.48240000000000005,0.0,0.5110360360360361,0.0,0.0,0.0,0.0,0.6082115956197363,0.173981173163116
0.0,0.0,0.5,0.4,0.25,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.5411511257456685,0.3068290490949523
0.0,0.0,0.25,0.6,0.75,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.5897310980555706,0.39612402207602176
0.0,0.0,0.5,0.4,0.5,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.6645384118903179,0.8238181378253506
0.34213836477987425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666667,0.0,0.0,0.0,0.9907692307692308,0.5570737117802642,0.19702503715823072
0.0,0.0,0.6950000000000001,0.0,0.0,0.0,0.41100000000000003,0.0,0.3752252252252253,0.0,0.0,0.0,0.0,0.7107795308262748,0.4862255302969202
0.0,0.87,0.325,0.348,0.435,0.6236559139784946,0.0,0.6641221374045801,0.0,0.0,0.0,0.0,0.0,0.9926260709235095,0.4332246431081564
0.0,0.0,0.75,0.2,0.5,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.5897310980555706,0.5629615974006521
0.6289308176100629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4504504504504505,0.48661800486618,0.0,0.0,0.0,0.7393457257250657,0.4240070975101105
0.0,0.0,0.625,0.5,0.625,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.4203236752424293,0.4470509615052252
0.0,0.0,0.625,0.51,0.0,0.7885304659498209,0.44200000000000006,0.0,0.0,0.13138686131386862,0.0,0.0,0.0,0.6105791541974932,0.5472917698839741
0.6289308176100629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4504504504504505,0.0,1.0,0.0,0.0,0.7393457257250657,0.032261409593160595
0.0,0.0,0.555,0.45,0.0,0.7383512544802869,0.41000000000000003,0.0,0.0,0.3454987834549878,0.0,0.0,0.0,0.7219229136432663,0.4620294731020497
0.0,0.0,0.25,0.4,0.25,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.5897310980555706,0.7934002373517992
0.0,0.0,1.0,0.2,0.25,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.5411511257456685,0.42078095655079445
0.0,0.0,0.25,0.4,0.5,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.6645384118903179,0.6487999907824544
0.0,0.0,1.0,0.2,0.25,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.46634381191092067,0.3045246626954408
0.0,0.0,0.75,0.4,0.25,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.5897310980555706,0.6240278369877061
0.0,0.0,0.25,0.6,0.25,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.5897310980555706,0.6169994584691962
0.0,0.0,1.0,0.4,0.5,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.5411511257456685,0.8249703310251064
0.7185534591194969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5418918918918919,0.0,0.0,0.0,0.8307692307692308,0.6134443922984343,0.07950133078314572
0.0,0.0,0.0,0.446,0.3275,1.0,0.09,0.7977099236641221,0.0,0.2749391727493917,0.0,0.0,0.0,0.8261505835966363,0.47700798469887434
0.0,0.0,0.25,0.8,0.25,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.46634381191092067,0.6651611342189858
0.0,0.0,0.5,1.0,0.25,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.3816400996446039,0.40441981311426306
0.0,0.0,0.5,0.2,0.25,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.5897310980555706,0.31040084801419504
0.5723270440251572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.427927927927928,0.22871046228710462,0.0,1.0,0.0,0.6504706645114855,0.10830616077703911
0.0,0.0,0.5,0.6,0.25,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.6645384118903179,0.6898180686937587
0.0,0.835,0.0,0.334,0.0,0.5985663082437277,0.0,0.6374045801526718,0.37162162162162166,0.0,0.0,0.0,0.0,0.9999913870632626,0.465486052701317
0.0,0.0,0.25,0.2,0.5,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.5897310980555706,0.7980090101508222
